CellLine,IRS1,ABL2,NCK2,PIK3R1,PIK3R3,VAV2,PLCG2,SRC,STAT1,YES1,RASA1,PIK3R2,SHC1,SYK,BLK,CRKL,ITK,ZAP70
HEK293,4.8572774005894666e-06,0.044340021761033084,0.06960887194490209,0.05535792723128966,0.028623021937738014,0.03602773425763674,0.06306345170727887,0.5811844732578663,0.0,0.1983233157267387,0.2289508250606347,0.047462459954969616,0.19577217736664415,0.04000249673180284,0.0,1.2136002622694126,0.0,0.0021577743464280892
HeLa_Kyo,0.0,0.10503742933686697,0.0,0.0,0.013225454209925725,0.17700205088474003,0.018263364894483457,0.0,0.00022142308283443617,0.15142994318622552,0.1171813555397029,0.05542299966406482,0.2706943372960837,0.0,0.0,0.44796257779243753,0.0,0.0
HeLa_S3,0.00011721814407143821,0.15346039416009455,0.0019497618171559754,0.0006932550265003376,0.005028074012094531,0.10585128401424714,0.00539034321672586,0.0019910009699270763,0.1460717277101283,0.09903065976049966,0.05967741481018906,0.02435319719081026,0.19271067390823765,0.00017399631146313303,0.0001295603303817691,0.17420331569716407,0.0,0.0
HeLa_S3_G,4.9937712671289664e-26,0.0,0.0,0.0,0.014146828688582039,0.0640141465504524,0.005487295591714383,0.30453368751242404,0.0,0.1764728739940581,0.07764613403990547,0.011126190987832544,0.2690871729698852,0.0,0.0,0.5767958149181635,0.0,0.0
HepG2,1.8146289642626603e-05,0.004169279221260634,0.0006953025188055369,0.11270226816792708,0.0,0.16793708541816338,0.0013930203415874409,0.8874582737454422,0.0,0.14590677751066844,0.15023436984287644,0.0,0.008420472166461851,0.0,0.0,1.3620764294753545,0.0,0.00046182137757636737
Jurkat,0.0,0.008447944087022282,0.13980400267326132,0.10167767125482782,0.006945658200533423,0.055329842980641454,0.18259718675178935,0.7506424257366644,0.0,0.020665188405746118,0.18302832759763674,0.0034292276057684,0.07454157576644159,0.0,0.00018859557612835922,1.148000643313977,0.15150532462255234,0.7207192718636057
K562,0.0,0.004894943463024308,0.0,0.06272092874950709,0.0,0.0007837430888271438,0.010108055229898716,0.16763351561890616,0.0,0.32141613453180284,0.5791671906392978,0.08958427883193788,0.08547327995752871,0.04244355759336259,0.0,1.6360457175219447,0.0,0.0
LEUK_CCRFCEM,0.0,0.0,0.019526702981593518,0.0027265470375496285,-1.367459056101958e-24,0.014802242239912222,0.0,0.014107208895766374,0.29454691415604317,0.0007843307778230925,0.06520362300392979,0.10667897815509791,0.07272076016239028,0.0,0.0,0.041354274742538825,0.0,0.0
LEUK_SR,0.0,0.0,0.10651987429135719,0.025409990872707632,0.0,0.044375828450486154,0.0,0.0,0.42260997081120866,0.0,0.0,0.0,0.0,0.0,0.0,0.06991708304118839,0.0,0.05068385922024983
LnCap,3.6186348048379475e-25,0.0,0.058443115042545575,0.2953440893141121,0.0,0.07213108369635382,0.00496955922587306,0.7803429211316678,0.0,0.4556368374028359,0.35119821642498317,0.10286994353720459,0.3846486389044565,0.0,0.0,1.1108780667211342,0.0,0.0
MCF7,0.0014888322280823768,0.0,0.0076232030438217425,0.005375364220432816,0.0,0.0828024433498312,0.020303794053045242,0.09988090986806213,0.0,0.04039712283640108,0.09430141714942605,0.018653208557184334,0.09493062877157327,0.010331265902174208,0.0,0.15717232328008102,0.0,0.0
MELAN_M14,8.941069219446321e-06,0.0,0.012122245129101959,0.01274503813618501,2.0010152442511814e-25,0.0076276157090546925,0.002550512423885213,0.0011322648184929102,0.6800186416677921,0.0005147549635622552,0.10734985096083728,0.022096017713362594,0.027727132095935178,0.0,0.0,0.03824511772376772,0.0,0.00022779324302187712
MELAN_MALME3M,6.273589331192438e-26,0.0,0.026097508843585415,0.018180179939399056,2.1405637110567184e-26,0.0,0.0,0.0,0.28480521316576635,0.3616578188056719,0.0,0.0,0.0,0.0,0.0,0.061701815310857534,0.0,0.0
MELAN_SKMEL28,-4.503824695315327e-26,0.0,0.01580209752979068,0.011225787968379473,0.0,0.0,0.0,0.00153051748289264,0.5596045189698852,0.29158542963038486,0.02794749212272789,0.005272049157927751,0.009762802752478055,0.0,0.0,0.05302140961715057,0.0,0.0
MELAN_SKMEL5,1.3267293736833218e-25,0.0,0.0,0.16689850923531396,0.0,0.0,0.0,0.0,0.30181576859905473,0.42415224662775153,0.04081159738392978,0.0,0.0,0.0,0.0,0.10969845908555031,0.0,0.0
MELAN_UACC257,-4.9464640516617145e-27,0.0,0.07941740823733964,0.03170806554418636,0.0,0.0,0.0,0.0,0.27243197083767723,0.3426972534274814,0.019160767573889265,0.005396078187587441,0.0,0.0,0.0,0.03126882966062795,0.0,0.0
